"Gene Symbol","Nominations","Year First Nominated","Nominating Teams","Cohort Study","Program","Input Data","Pharos Class","Small Molecule Druggability","Safety Rating","Antibody Modality"
"MRPS23","1","2018","Columbia-Rush","ROSMAP","AMP-AD","Clinical, Protein","Tdark","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"MS4A2","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tbio","10: Potentially small molecule druggable by family (low activity ligand): is a member of a gene family which has a protein member with a ligand which does not meet TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"MS4A7","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tdark","10: Potentially small molecule druggable by family (low activity ligand): is a member of a gene family which has a protein member with a ligand which does not meet TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"MT1G","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"MTHFD1","1","2023","Duke","","AMP-AD","Genetics, Metabolomics, Phenomics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"MTMR10","1","2019","Chang Lab","Kronos, ROSMAP","Community","Genetics, RNA","Tdark","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"MTSS2","1","2023","Emory","https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2","AMP-AD","Genetics, Protein","Tbio","12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","6: Protein located in intracellular compartment. "
"MYO1D","1","2019","Chang Lab","Kronos, MSBB","Community","Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"MYO1E","1","2023","MSSM - Roussos Lab","HBI_scRNAseq","AMP-AD","RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"MYO1F","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tdark","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"MYRF","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tbio","11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"N4BP3","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tdark","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"NBAS","1","2020","ASU","ROSMAP","AMP-AD","Genetics, Protein, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"NCKAP1L","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"NCKAP5","1","2023","MSSM - Roussos Lab","HBI_scRNAseq","AMP-AD","RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
